"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
107512,40,1,0,1,0,0,0,0,0,0,0,12,13,0,0
107512,52,15,10,7,1,0,1,0,1,0,1,103,77,0,0
107558,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
107558,26,1,2,2,1,1,1,1,1,NA,NA,11,19,NA,NA
107558,27,3,NA,1,NA,1,NA,NA,NA,NA,NA,24,9,NA,NA
107558,40,NA,2,1,1,NA,NA,NA,1,NA,NA,5,7,NA,NA
107558,52,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,43,NA,NA
107600,13,NA,NA,33,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107600,26,3,NA,11,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107600,27,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107600,40,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107600,52,3,NA,84,128,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
107877,13,0,0,3,3,1,0,0,0,0,2,52,124,0,3
107877,26,1,0,1,1,0,0,1,0,0,1,12,18,0,0
107877,52,0,1,4,0,0,1,0,0,0,1,24,19,0,0
107983,13,1,0,52,68,1,1,0,1,9,2,127,213,0,0
107983,26,2,2,2,15,0,0,0,0,0,0,26,38,0,0
107983,27,1,0,1,2,0,0,0,0,0,0,5,0,0,0
107983,40,2,2,2,4,0,0,0,0,0,0,14,5,0,0
107983,52,39,18,61,86,3,2,1,2,3,3,201,186,0,0
108250,52,NA,NA,1,1,NA,NA,1,0,0,1,4,1,0,0
109785,13,0,4,4,20,0,5,6,17,20,143,64,485,19,39
109785,26,NA,NA,NA,NA,NA,NA,7,7,NA,6,34,69,2,4
109785,27,1,NA,NA,NA,NA,NA,1,NA,2,NA,12,20,NA,NA
109785,40,1,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,NA,NA
109785,52,15,NA,11,16,NA,NA,NA,17,33,18,243,165,12,9
110051,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,26,NA,NA
110051,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,13,NA,NA
110097,13,0,2,2,5,1,2,3,21,5,24,40,183,0,0
110097,26,1,3,2,1,1,0,1,6,1,0,14,40,1,0
110097,27,1,1,0,0,0,0,0,4,0,2,9,13,0,0
110097,40,1,0,0,0,0,0,2,1,1,1,17,6,0,0
110097,52,8,4,24,29,0,0,17,19,22,21,219,176,2,1
110361,13,0,0,1,14,2,19,1,7,10,49,23,228,6,30
110361,26,1,1,1,1,0,1,0,0,1,2,2,11,0,2
110361,27,0,0,0,1,0,0,2,0,3,13,9,14,0,2
110361,52,11,0,2,7,1,2,4,5,14,17,64,46,9,4
110404,14,15,12,2,1,0,1,69,35,19,5,134,43,1,0
110404,26,3,4,0,0,0,0,15,20,3,1,15,21,0,0
110404,27,6,2,1,0,0,0,12,3,3,0,20,16,1,0
110404,40,17,11,2,1,0,1,22,15,2,6,80,44,0,NA
110413,26,NA,NA,NA,NA,NA,NA,NA,8,NA,9,27,NA,NA,NA
110413,27,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
110413,40,NA,NA,NA,NA,NA,NA,NA,2,NA,1,11,10,1,NA
110413,52,NA,2,NA,4,NA,NA,10,11,28,36,146,162,15,21
110422,13,0,1,1,1,3,5,1,9,11,23,41,241,7,40
110422,14,35,15,30,4,29,5,653,182,403,76,2192,419,555,107
110422,26,1,5,1,3,4,4,27,49,36,42,170,334,48,78
110422,27,2,1,0,1,0,2,14,5,6,12,94,107,18,20
110422,40,0,1,2,0,3,0,14,8,11,4,140,61,35,10
110422,52,10,16,17,7,8,6,132,156,110,80,829,595,221,153
110468,52,56,39,25,16,2,0,7,14,18,26,28,17,16,19
110486,13,0,1,1,5,0,2,0,3,2,44,3,61,0,8
110486,26,3,2,2,9,1,3,12,10,22,49,31,52,9,7
110486,27,0,2,1,3,0,0,2,1,18,17,24,23,7,6
110486,40,0,0,2,0,2,3,6,6,8,12,21,18,4,5
110486,52,13,22,21,33,4,2,27,27,85,137,171,167,36,22
